trait,species,mean,max
Leaf.length,Silene.latifolia,9,9
Leaf.length,Silene.noctiflora,11,11
Leaf.length,Silene.nocturna,4,4
Leaf.length,Silene.tridentata,4.5,4.5
Leaf.length,Silene.uniflora,4,4
Leaf.length,Silene.vulgaris,5,5
Leaf.length,Soliva.anthemifolia,13,13
Leaf.length,Soliva.sessilis,5,5
Leaf.length,Soliva.stolonifera,4,4
Leaf.length,Sonchus.asper,20,20
Leaf.length,Sonchus.hydrophilus,30,30
Leaf.length,Sonchus.oleraceus,35,35
Leaf.length,Stuartina.hamata,1.8,1.8
Leaf.length,Stuartina.muelleri,1.8,1.8
Leaf.length,Taraxacum.officinale,40,40
Leaf.length,Themeda.quadrivalvis,35,35
Leaf.length,Tolpis.barbata,11,11
Leaf.length,Tragopogon.dubius,50,50
Leaf.length,Tragopogon.porrifolius,30,30
Leaf.length,Tricoryne.anceps,3,3
Leaf.length,Tricoryne.elatior,10,10
Leaf.length,Tricoryne.simplex,25,25
Leaf.length,Trifolium.alexandrinum,5,5
Leaf.length,Trifolium.ambiguum,7,7
Leaf.length,Trifolium.angustifolium,5,5
Leaf.length,Trifolium.arvense,2,2
Leaf.length,Trifolium.campestre,1.6,1.6
Leaf.length,Trifolium.cernuum,1.5,1.5
Leaf.length,Trifolium.dubium,1,1
Leaf.length,Trifolium.fragiferum,3,3
Leaf.length,Trifolium.globosum,1.8,1.8
Leaf.length,Trifolium.glomeratum,1.5,1.5
Leaf.length,Trifolium.hirtum,1.5,1.5
Leaf.length,Trifolium.hybridum,3,3
Leaf.length,Trifolium.incarnatum,2,2
Leaf.length,Trifolium.ornithopodioides,1.4,1.4
Leaf.length,Trifolium.pratense,5,5
Leaf.length,Trifolium.repens,4,4
Leaf.length,Trifolium.resupinatum,3.3,3.3
